x,y,z,pitch,yaw,roll
-3901.938,-1958.056,373.069,2.704,5.514,0.000
-3191.621,-1886.192,408.323,3.439,349.066,0.000
-2835.026,-1862.731,432.100,355.845,334.542,0.000
-2491.143,-1711.186,547.270,16.916,23.433,0.000
-2282.445,-1619.975,617.072,9.526,18.542,0.000
-1980.129,-1518.574,670.583,5.959,13.606,0.000
-1582.619,-1410.640,723.003,0.579,0.459,0.000
-1196.299,-1389.766,735.960,354.462,349.374,0.000
-849.241,-1435.927,712.413,351.647,344.963,0.000
-525.697,-1518.430,665.414,351.035,343.563,0.000
-191.987,-1616.318,610.936,351.647,342.863,0.000
95.647,-1703.212,565.282,353.863,339.089,0.000
451.971,-1835.067,521.175,356.117,335.993,0.000
761.392,-1967.437,496.389,356.117,335.643,0.000
1041.628,-2093.778,475.863,356.754,341.331,0.000
1319.061,-2195.995,457.743,354.702,350.798,0.000
1485.169,-2239.882,445.842,354.231,2.486,0.000
2114.683,-2123.421,381.069,356.926,10.701,0.000
2866.113,-1963.645,321.747,358.641,3.177,0.000
3593.472,-1888.665,297.104,1.581,340.254,0.000
